id,programa,institucion,estado,ciudad,costo_colones,costo_texto,duracion_meses,duracion_texto,modalidad,nivel,categoria,etiquetas,fuente
FPE-CR-040,Especialista en Uñas,Instituto COSVIC sólo sede San Ramón,Aprobado,San Ramón de Alajuela,2514975.00,"₡2.514.975,00",9,9 meses,Presencial,Otro,Belleza y servicios personales,belleza;emprendimiento;servicios;uñas,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-041,Especialización en Administración de Proyectos,FUNDATEC,Aprobado,en Costa Rica,888039.00,"₡888.039,00",8,8 meses,Híbrido,Especialización,Administración y negocios,administración;negocios;oficina;proyectos,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-042,Especializacion en Ciberseguridad,Universidad Fidelitas S.A,Aprobado,San José,6037000.00,"₡6.037.000,00",8,8 meses,Híbrido,Especialización,Tecnología,ciberseguridad;computación;empleo digital;seguridad de la información;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-043,Estética y masajes profesional,Instituto COSVIC sólo sede San Ramón,Aprobado,San Ramón de Alajuela,1408623.00,"₡1.408.623,00",12,12 meses,Presencial,Otro,Belleza y servicios personales,belleza;emprendimiento;servicios,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-044,Esteticismo Canino,Escuela de Estética Canina Easy Groom S.A.,Aprobado,San Francisco de Dos Ríos,1500000.00,"₡1.500.000,00",8,8 meses,Presencial,Otro,Belleza y servicios personales,belleza;emprendimiento;estética canina;servicios,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-045,Inglés Intensivo Virtual,FUNDATEC,Aprobado,en Costa Rica,1000000.00,"₡1.000.000,00",24,24 meses,Presencial,Otro,Idiomas,comunicación;idiomas;inglés;servicio al cliente,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-046,Licenciatura en Administración de Negocios,Universidad Hispanoamericana,Aprobado,San José,3500000.00,"₡3.500.000,00",16,16 meses,Presencial,Licenciatura,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-047,Licenciatura en Contaduría Pública,Universidad Latina de Costa Rica,Aprobado,San José,7848217.00,"₡7.848.217,00",12,12 meses,Híbrido,Licenciatura,Contabilidad y finanzas,contabilidad;finanzas;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-048,Licenciatura en Ingeniería en Sistemas de Computación,Universidad Fidelitas S.A,Aprobado,San José,9628000.00,"₡9.628.000,00",12,12 meses,En línea,Licenciatura,Tecnología,computación;empleo digital;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-049,Licenciatura en Psicología,Universidad Hispanoamericana,Aprobado,San José,15583789.10,"₡15.583.789,10",44,44 meses,Presencial,Licenciatura,Salud,atención;psicología;salud;servicio,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-050,Portugués Conversacional,INTENSA para Idiomas,Aprobado,San Pedro,1500000.00,"₡1.500.000,00",14,14 meses,Híbrido,Otro,Idiomas,comunicación;idiomas;portugués;servicio al cliente,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-051,Programa de Inglés,Instituto Estelar Bilingüe,Aprobado,Liberia,2100000.00,"₡2.100.000,00",32,32 meses,Híbrido,Programa,Idiomas,comunicación;idiomas;inglés;servicio al cliente,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-052,Programa Intensivo de Portugués,Centro de Estudios Brasileños,Aprobado,San José,2000000.00,"₡2.000.000,00",18,18 meses,Híbrido,Programa,Idiomas,comunicación;idiomas;portugués;servicio al cliente,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-053,Programa Súper Intensivo de Portugués,Centro de Estudios Brasileños,Aprobado,San José,2000000.00,"₡2.000.000,00",10,10 meses,Híbrido,Programa,Idiomas,comunicación;idiomas;portugués;servicio al cliente,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-054,Reparación de Celulares,Instituto COSVIC sólo sede San Ramón,Aprobado,San Ramón de Alajuela,664000.00,"₡664.000,00",10,10 meses,Presencial,Otro,Técnico industrial y oficios,industria;oficio;reparación de celulares;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-055,Técnico Básico en Manufactura de Semiconductores,Universidad Fidelitas S.A,Aprobado,San José,791596.00,"₡791.596,00",11,11 meses,En línea,Técnico,Técnico industrial y oficios,industria;manufactura;oficio;semiconductores;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-056,Técnico en Administración de Empresas,FUNDATEC,Aprobado,en Costa Rica,1060800.00,"₡1.060.800,00",12,12 meses,Presencial,Técnico,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-057,Técnico en Aire Acondicionado Comercial sólo sede San Ramón,Instituto COSVIC sólo sede San Ramón,Aprobado,San Ramón de Alajuela,800000.00,"₡800.000,00",12,12 meses,Presencial,Técnico,Técnico industrial y oficios,aire acondicionado;industria;oficio;refrigeración;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-058,Técnico en Análisis de Datos,FUNDATEC,Aprobado,en Costa Rica,3800000.00,"₡3.800.000,00",16,16 meses,Híbrido,Técnico,Tecnología,análisis de datos;computación;datos;empleo digital;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
